"","version","query","location","paginationPayload","dupefilter","highlight","totalResults","start","end","pageNumber","results.jobtitle","results.company","results.city","results.state","results.country","results.formattedLocation","results.source","results.date","results.snippet","results.url","results.onmousedown","results.jobkey","results.sponsored","results.expired","results.indeedApply","results.formattedLocationFull","results.formattedRelativeTime","results.stations","status","period","currency","minSal","maxSal"
"1",2,"actuaria","","",TRUE,TRUE,421,1,25,0,"ANALISTAS DE NEGOCIO","Grupo Bimbo","Ciudad de México","DIF","MX","Ciudad de México, D. F.","Grupo Bimbo","Sat, 31 Dec 2016 08:01:15 GMT","ANALISTAS DE NEGOCIO SUPERVISOR ANALISTA A Alvaro Obregon D. F., México, D.F. Domicilio PROLONGACION PASEO DE LA REFOR 1000 Requisitos generales EN...","http://www.indeed.com.mx/viewjob?jk=57ad9f3bbcb615fb&qd=bi1irCVCGq9473EJ9E79kxCEXhjIMzb7lFAuRtDcUo_TcNKK_aY9kAcq4uhA63y4Bh_byP2F8i2GkwKcxxcL2R6nojn63AzuMLy1372sZMY&indpubnum=7697745275879740&atk=1b6vd5ccoah7oa3v","indeed_clk(this,'6181');","57ad9f3bbcb615fb",FALSE,FALSE,FALSE,"Ciudad de México, D. F.","hace 20 días","","unknown","unknown","USD",15000,17000
"2",2,"actuaria","","",TRUE,TRUE,421,1,25,0,"DOCENTES","Universidad Latina,S.C.","Ciudad de México","DIF","MX","Ciudad de México, D. F.","Universidad Latina","Thu, 12 Jan 2017 12:21:48 GMT","Estas interesado en pertenecer a una institución educativa con prestigio y altos estándares educativos la Universidad Latina (UNILA) te invita a formar parte","http://www.indeed.com.mx/viewjob?jk=48f46e77f2650936&qd=bi1irCVCGq9473EJ9E79kxCEXhjIMzb7lFAuRtDcUo_TcNKK_aY9kAcq4uhA63y4Bh_byP2F8i2GkwKcxxcL2R6nojn63AzuMLy1372sZMY&indpubnum=7697745275879740&atk=1b6vd5ccoah7oa3v","indeed_clk(this,'6181');","48f46e77f2650936",FALSE,FALSE,FALSE,"Ciudad de México, D. F.","hace 8 días","","unknown","unknown","USD",NA,NA
"3",2,"actuaria","","",TRUE,TRUE,421,1,25,0,"Analista de Información (Inteligencia del negocio)","Farmacias Similares","Ciudad de México","DIF","MX","Ciudad de México, D. F.","bumeran.com.mx","Fri, 20 Jan 2017 06:26:38 GMT","Sistemas, informática, <b>actuaría</b> o Científico de datos (título). 25 en adelante....","http://www.indeed.com.mx/viewjob?jk=567e12db3a84e957&qd=bi1irCVCGq9473EJ9E79kxCEXhjIMzb7lFAuRtDcUo_TcNKK_aY9kAcq4uhA63y4Bh_byP2F8i2GkwKcxxcL2R6nojn63AzuMLy1372sZMY&indpubnum=7697745275879740&atk=1b6vd5ccoah7oa3v","indeed_clk(this,'6181');","567e12db3a84e957",FALSE,FALSE,FALSE,"Ciudad de México, D. F.","hace 19 horas","","unknown","unknown","USD",NA,NA
"4",2,"actuaria","","",TRUE,TRUE,421,1,25,0,"Analista MIS Riesgo","Crédito Familiar","Ciudad de México","DIF","MX","Ciudad de México, D. F.","bumeran.com.mx","Fri, 20 Jan 2017 06:26:00 GMT","Educación y Certificaciones Licenciatura en Sistemas, Informática, <b>Actuaría</b>, Matemáticas y/o Economía (Titulado). ¡Gracias por tu interés en Crédito Familiar!...","http://www.indeed.com.mx/viewjob?jk=bfb75d03f35f6df2&qd=bi1irCVCGq9473EJ9E79kxCEXhjIMzb7lFAuRtDcUo_TcNKK_aY9kAcq4uhA63y4Bh_byP2F8i2GkwKcxxcL2R6nojn63AzuMLy1372sZMY&indpubnum=7697745275879740&atk=1b6vd5ccoah7oa3v","indeed_clk(this,'6181');","bfb75d03f35f6df2",FALSE,FALSE,FALSE,"Ciudad de México, D. F.","hace 19 horas","","unknown","unknown","USD",NA,NA
"5",2,"actuaria","","",TRUE,TRUE,421,1,25,0,"Analista de información para Inteligencia de Negocios BI","IKE ASISTENCIA","Ciudad de México","DIF","MX","Ciudad de México, D. F.","bumeran.com.mx","Wed, 18 Jan 2017 06:45:15 GMT","Concluida <b>actuaria</b>, matemáticas o Ingeniería industrial. Elaboración de presupuesto....","http://www.indeed.com.mx/viewjob?jk=87446cb5a0dd39b3&qd=bi1irCVCGq9473EJ9E79kxCEXhjIMzb7lFAuRtDcUo_TcNKK_aY9kAcq4uhA63y4Bh_byP2F8i2GkwKcxxcL2R6nojn63AzuMLy1372sZMY&indpubnum=7697745275879740&atk=1b6vd5ccoah7oa3v","indeed_clk(this,'6181');","87446cb5a0dd39b3",FALSE,FALSE,FALSE,"Ciudad de México, D. F.","hace 2 días","","unknown","unknown","USD",NA,NA
"6",2,"actuaria","","",TRUE,TRUE,421,1,25,0,"Analista de activo Fijo e inventarios","ELEKTRA","Ciudad de México","DIF","MX","Ciudad de México, D. F.","bumeran.com.mx","Mon, 16 Jan 2017 18:21:31 GMT","Contabilidad / Economía / Finanzas / <b>Actuaria</b>, afín (Titulado o pasante). Estamos buscando a nuestros próximos socios para la posición de:....","http://www.indeed.com.mx/viewjob?jk=cb1d073418546d8f&qd=bi1irCVCGq9473EJ9E79kxCEXhjIMzb7lFAuRtDcUo_TcNKK_aY9kAcq4uhA63y4Bh_byP2F8i2GkwKcxxcL2R6nojn63AzuMLy1372sZMY&indpubnum=7697745275879740&atk=1b6vd5ccoah7oa3v","indeed_clk(this,'6181');","cb1d073418546d8f",FALSE,FALSE,FALSE,"Ciudad de México, D. F.","hace 4 días","","unknown","unknown","USD",12000,12000
"7",2,"actuaria","","",TRUE,TRUE,421,1,25,0,"Analista de riesgos financieros","Financiera Independencia","Ciudad de México","DIF","MX","Ciudad de México, D. F.","Financiera Independencia","Thu, 12 Jan 2017 23:34:46 GMT","<b>Actuaría</b>, Matemáticas, Estadística. Se encuentra en la búsqueda de talento clave para laborar en sus oficinas corporativas ubicadas en Santa Fe para la...","http://www.indeed.com.mx/viewjob?jk=b1fb757bdc8569ba&qd=bi1irCVCGq9473EJ9E79kxCEXhjIMzb7lFAuRtDcUo_TcNKK_aY9kAcq4uhA63y4Bh_byP2F8i2GkwKcxxcL2R6nojn63AzuMLy1372sZMY&indpubnum=7697745275879740&atk=1b6vd5ccoah7oa3v","indeed_clk(this,'6181');","b1fb757bdc8569ba",FALSE,FALSE,FALSE,"Ciudad de México, D. F.","hace 8 días","","unknown","unknown","USD",NA,NA
"8",2,"actuaria","","",TRUE,TRUE,421,1,25,0,"ANALISTA CONTROL INFORMACION","Seguros Monterrey","","","MX","México","Seguros Monterrey","Sat, 21 Jan 2017 00:02:14 GMT","<b>Actuaría</b>, Matemáticas Aplicadas, Ingeniería. Detectar factores de éxito mediante los resultados obtenidos del análisis de los resultados de la compañía, para...","http://www.indeed.com.mx/viewjob?jk=1bd3b39b74b7270e&qd=bi1irCVCGq9473EJ9E79kxCEXhjIMzb7lFAuRtDcUo_TcNKK_aY9kAcq4uhA63y4Bh_byP2F8i2GkwKcxxcL2R6nojn63AzuMLy1372sZMY&indpubnum=7697745275879740&atk=1b6vd5ccoah7oa3v","indeed_clk(this,'6181');","1bd3b39b74b7270e",FALSE,FALSE,FALSE,"México","hace 2 horas","","unknown","unknown","USD",NA,NA
"9",2,"actuaria","","",TRUE,TRUE,421,1,25,0,"ANALISTA DE INFORMACIÓN // RECIÉN EGRESADOS","CREDITO REAL","Ciudad de México","DIF","MX","Ciudad de México, D. F.","bumeran.com.mx","Fri, 13 Jan 2017 06:16:21 GMT","<b>Actuaría</b>, Finanzas, Industrial o afín (recién egresados, pasantes 100% créditos o titulados). IMPORTANTE EMPRESA FINANCIERA....","http://www.indeed.com.mx/viewjob?jk=22c5744b97200353&qd=bi1irCVCGq9473EJ9E79kxCEXhjIMzb7lFAuRtDcUo_TcNKK_aY9kAcq4uhA63y4Bh_byP2F8i2GkwKcxxcL2R6nojn63AzuMLy1372sZMY&indpubnum=7697745275879740&atk=1b6vd5ccoah7oa3v","indeed_clk(this,'6181');","22c5744b97200353",FALSE,FALSE,FALSE,"Ciudad de México, D. F.","hace 7 días","","unknown","unknown","USD",NA,NA
"10",2,"actuaria","","",TRUE,TRUE,421,1,25,0,"CONTROL INTERNO","BBVA Provincial","","","MX","México","BBVA Provincial","Tue, 20 Dec 2016 23:57:47 GMT","Licenciatura en Administración, Economía, Ingeniero, <b>Actuaría</b> y/o Finanzas. El talento de nuestra gente nos hace la institución financiera más sólida del país....","http://www.indeed.com.mx/viewjob?jk=26e884ccf40b0172&qd=bi1irCVCGq9473EJ9E79kxCEXhjIMzb7lFAuRtDcUo_TcNKK_aY9kAcq4uhA63y4Bh_byP2F8i2GkwKcxxcL2R6nojn63AzuMLy1372sZMY&indpubnum=7697745275879740&atk=1b6vd5ccoah7oa3v","indeed_clk(this,'6181');","26e884ccf40b0172",FALSE,FALSE,FALSE,"México","hace 30+ días","","unknown","unknown","USD",23100,23100
"11",2,"actuaria","","",TRUE,TRUE,421,1,25,0,"Analista Actuarial GNP","GNP Seguros Corporativo","Ciudad de México","DIF","MX","Ciudad de México, D. F.","bumeran.com.mx","Thu, 12 Jan 2017 06:14:53 GMT","Licenciatura en <b>Actuaría</b>. INTEGRATE A LA COMPAÑÍA DE SEGUROS CON MÁS DE 100 AÑOS EN EL MERCADO SIENDO LÍDER Y EMPRESA 100% MEXICANA....","http://www.indeed.com.mx/viewjob?jk=93f8aff01f0e1b8a&qd=bi1irCVCGq9473EJ9E79kxCEXhjIMzb7lFAuRtDcUo_TcNKK_aY9kAcq4uhA63y4Bh_byP2F8i2GkwKcxxcL2R6nojn63AzuMLy1372sZMY&indpubnum=7697745275879740&atk=1b6vd5ccoah7oa3v","indeed_clk(this,'6181');","93f8aff01f0e1b8a",FALSE,FALSE,FALSE,"Ciudad de México, D. F.","hace 8 días","","unknown","unknown","USD",10000,10000
"12",2,"actuaria","","",TRUE,TRUE,421,1,25,0,"Analista de Riesgos Financieros","Citi","Cuauhtémoc","DIF","MX","Cuauhtémoc, D. F.","Citi","Wed, 18 Jan 2017 13:04:13 GMT","Licenciatura en matemáticas aplicadas o <b>Actuaría</b> terminada. Yes, 100 % of the Time....","http://www.indeed.com.mx/viewjob?jk=eded81b22653b99e&qd=bi1irCVCGq9473EJ9E79kxCEXhjIMzb7lFAuRtDcUo_TcNKK_aY9kAcq4uhA63y4Bh_byP2F8i2GkwKcxxcL2R6nojn63AzuMLy1372sZMY&indpubnum=7697745275879740&atk=1b6vd5ccoah7oa3v","indeed_clk(this,'6181');","eded81b22653b99e",FALSE,FALSE,FALSE,"Cuauhtémoc, D. F.","hace 2 días","","unknown","unknown","USD",NA,NA
"13",2,"actuaria","","",TRUE,TRUE,421,1,25,0,"ANALISTA DE NEGOCIO","Grupo Bimbo","Ciudad de México","DIF","MX","Ciudad de México, D. F.","Grupo Bimbo","Sat, 31 Dec 2016 08:01:11 GMT","<b>Actuarios</b>, Ing matematicos, economistas o carreras afines. ANALISTA DE NEGOCIO....","http://www.indeed.com.mx/viewjob?jk=374cd38e9eda90b5&qd=bi1irCVCGq9473EJ9E79kxCEXhjIMzb7lFAuRtDcUo_TcNKK_aY9kAcq4uhA63y4Bh_byP2F8i2GkwKcxxcL2R6nojn63AzuMLy1372sZMY&indpubnum=7697745275879740&atk=1b6vd5ccoah7oa3v","indeed_clk(this,'6181');","374cd38e9eda90b5",FALSE,FALSE,FALSE,"Ciudad de México, D. F.","hace 20 días","","unknown","unknown","USD",NA,NA
